Report: 2017-07-14_AA0003_r-012-01.txt
Sensor ID#: AA0003
Installed: 2017-07-14
Comm ID#: C-AA0009
Days active & report #: 012-01
Nest location: 3746.3222N,12226.3567W
Start date/time: 2017/07/24,16:26:31
Report date/time: 2017/07/25,16:25:38
Secs per rec: 0168
# of recs: 00F0
Battery level: 02B7

Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0087,0178,02EE,013F,FE0E,89D4,000C,0707,1D93,348F,1FD2,04F2,0090,0013,0001,0000,0001
0088,017B,02EC,013F,FE0F,89CB,000A,03B1,080A,077B,1D3A,3462,1F4D,0501,008F,001B,0001
0089,0179,02E8,013F,FE0C,89C6,000A,03A2,07F6,0708,1D5C,3480,1F70,052E,008D,001D,0002
008A,0178,02EF,013F,FE09,89CA,000B,07B5,06D4,1D3B,34E6,1F6A,0552,0090,0015,0005,0001
008B,0178,02EE,0140,FE09,89DB,000B,07D7,06CA,1CEC,34B1,1FDB,055F,00B3,0016,0001,0004
008C,0179,02EC,0146,FE07,89C9,000A,03AA,07C1,0692,1CB7,3543,1FFF,053F,007B,0015,0004
008D,0178,02EE,013C,FE0F,89CE,000C,06B5,1D61,34CD,1FB4,04E6,00A8,0016,0001,0000,0001
008E,0178,02EC,0147,FE0C,89D1,000A,03A0,07C8,063F,1D43,350B,201B,0517,0093,0014,0003
008F,0178,02EE,0141,FE07,89C3,000A,0395,07A6,06B7,1CFA,34F0,1FD3,057D,007B,0018,0004
0090,0177,02EC,013F,FE0C,89C7,000A,0383,079E,0676,1CE1,34EF,206A,0546,009A,0014,0002
0091,0177,02EE,013F,FE09,89C4,000A,03C1,07E8,068D,1C4D,34BF,2094,0541,009C,0010,0001
0092,0178,02EE,0140,FE07,89C4,000B,07B0,0662,1C9D,346F,20BD,057C,00A3,0016,0001,0001
0093,0178,02EC,013F,FE0F,89C9,000C,0623,1C8F,35AD,206B,0541,0095,0017,0001,0000,0003
0094,0178,02EE,0141,FE0C,89CA,000B,07C3,0650,1CFE,352D,2011,0520,008E,0015,0001,0001
0095,0178,02E8,013F,FE0F,89CA,000B,07AE,06BA,1CAA,3585,1F9C,0536,00AC,0010,0004,0002
