Report: 2017-07-14_AA0003_r-014-01.txt
Sensor ID#: AA0003
Installed: 2017-07-14
Comm ID#: C-AA0009
Days active & report #: 014-01
Nest location: 3746.3222N,12226.3567W
Start date/time: 2017/07/26,16:24:47
Report date/time: 2017/07/27,16:23:54
Secs per rec: 0168
# of recs: 00F0
Battery level: 02B6

Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
00B4,017F,02EC,013F,FE0C,89EB,000B,0EE3,1065,2636,2974,1163,0343,008A,0016,0004,0001
00B5,017E,02EE,013E,FE0E,89EF,000B,0F6B,10A4,26CA,289B,1112,032E,0085,0015,0001,0001
00B6,0180,02EC,013E,FE0F,89EC,000A,05C0,0F43,1103,25A8,28E9,11B4,0304,0086,0014,0003
00B7,0182,02E9,013F,FE0F,89F1,000B,0F9A,1125,25F1,28E9,1133,0318,006D,0020,0002,0001
00B8,0181,02EC,013F,FE0F,89F7,000A,05EE,0F89,11A8,262C,292E,1006,02E7,007B,0015,0001
00B9,0181,02EF,013F,FE0F,89F1,000C,1163,2612,28BC,109B,030F,0080,0015,0002,0001,0001
00BA,0182,02EE,0140,FE0C,89ED,000A,05A1,0FBB,10B1,25F3,296C,1101,02FD,0070,0012,0001
00BB,017E,02EF,013F,FE0C,89F6,000A,0584,0EE6,10D0,23F8,294B,12BA,0411,009D,000F,0002
00BC,0182,02EC,013E,FE0F,89F5,0009,05A1,0F29,104D,24F9,2948,127A,0371,009B,0017,0000
00BD,0183,02EC,013F,FE0C,89F2,0009,0512,0DF9,0FBF,232C,2A27,1577,03D3,007B,0010,0000
00BE,0182,02EE,0140,FE11,89FA,000B,0D3E,0EDE,216B,2B8C,1655,04BB,00C9,001D,0004,0001
00BF,0183,02EF,013C,FE0F,89F7,000B,0F10,1105,256F,299F,1175,0300,0078,0016,0004,0001
00C0,0183,02F0,013C,FE18,89F1,000B,0ED5,102F,24E6,2892,138B,03AF,0098,0018,0002,0002
00C1,0183,02F0,0139,FE0C,89F8,000B,09FA,0A70,1C6F,2CB8,1E07,08BB,0172,003C,0004,0001
00C2,0182,02F0,0139,FE0F,8A03,000B,1002,1205,2695,28B0,0F7F,02AA,006B,0013,0001,0001
00C3,0182,02F0,013F,FE11,8A02,000C,11E1,26BE,28ED,0F13,02D2,007F,0014,0000,0000,0001
00C4,0184,02EF,013F,FE0C,8A0A,000A,067A,102E,11F9,25C1,288A,0FAE,02DE,0082,000F,0001
00C5,0184,02EE,013F,FE0E,8A01,000C,125E,241F,282D,107F,0374,00D4,0042,0008,0004,0001
00C6,0184,02EE,013E,FE0F,8A0D,000B,101B,1225,25A1,28B7,0F7D,02ED,0087,001A,0000,0001
00C7,0184,02F0,013F,FE08,8A0C,000B,1129,12A9,2610,2821,0E32,027D,00A2,001B,0006,0003
00C8,0184,02EC,013F,FE0C,8A0C,000A,06D1,114C,131C,260E,27D8,0E0E,0261,0068,0014,0002
00C9,0184,02EE,013C,FE12,8A07,000B,1153,13D6,2542,2876,0E48,0223,0049,0012,0003,0001
00CA,0184,02EC,013E,FE0F,8A0A,000B,1154,1336,2670,279E,0DE5,0263,0085,0019,0001,0001
00CB,0185,02EC,013F,FE0F,8A0F,000A,06C0,10C7,13A2,2581,27ED,0E68,0285,007A,0010,0001
00CC,0184,02EF,013F,FE0C,8A05,000B,0FFD,1239,2417,2820,1193,0340,0082,0018,0004,0001
00CD,0186,02EE,013E,FE0F,8A0D,000B,10CB,12FC,2536,27B9,0FC7,027D,0073,0014,0000,0002
00CE,0186,02F1,013F,FE09,8A04,000C,1226,24DB,2886,1089,02AC,008D,0020,0001,0000,0001
00CF,0184,02EE,0140,FE0C,8A02,000B,0FF4,1264,23CD,283D,11CB,034E,0090,0011,0002,0001
00D0,0185,02EE,013F,FE0C,8A19,000B,107D,1323,2485,27FF,108E,0296,0085,0011,0003,0001
00D1,0186,02EF,013F,FE12,8A0B,000B,10D6,12EC,2572,27FC,0FA0,026F,0075,0019,0002,0001
00D2,0183,02EF,013F,FE0E,8A21,000A,06F0,1203,1378,2563,2762,0E12,024E,0078,0016,0003
00D3,0186,02EF,0141,FE07,8A0D,000C,1385,24AF,2701,0DB3,029A,007B,0016,0000,0001,0001
00D4,0186,02EF,013F,FE0F,8A12,000A,075D,1259,141F,24C4,26CE,0DAE,0273,0071,0018,0001
00D5,0187,02EE,013E,FE0F,8A1F,000B,12BF,13A5,2572,26F2,0CE6,022B,0071,000E,0002,0001
00D6,0187,02F0,0141,FE0C,8A20,000B,1346,13AA,2544,265A,0CF8,0265,006D,0019,0001,0001
00D7,0189,02F0,0141,FE08,8A1E,000A,07F5,132E,149B,2412,266A,0CEA,027D,0069,0013,0001
