Report: 2017-07-14_AA0003_r-015-01.txt
Sensor ID#: AA0003
Installed: 2017-07-14
Comm ID#: C-AA0009
Days active & report #: 015-01
Nest location: 3746.3222N,12226.3567W
Start date/time: 2017/07/27,16:23:54
Report date/time: 2017/07/28,16:23:02
Secs per rec: 0168
# of recs: 00F0
Battery level: 02B6

Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
005E,0182,02F0,013E,FE0F,8A07,000A,08F9,1336,1134,2788,2624,0BC8,02A9,006A,001A,0003
005F,0184,02EF,013C,FE0F,8A02,000C,10A6,272D,264E,0B99,02B4,0068,0010,0004,0000,0001
0060,0186,02E7,013F,FE07,8A06,000C,10D8,2750,2641,0BE1,027F,0074,0014,0002,0000,0001
0061,0184,02EB,013E,FE0E,8A08,000A,090D,1397,10F3,2778,2628,0B8A,02B6,0080,000F,0002
0062,0184,02F0,013C,FE0C,8A0C,000C,1080,27E3,25FB,0BEE,0254,006C,0014,0002,0000,0001
0063,0184,02EE,013F,FE0E,8A00,000C,1095,2881,2576,0BFE,02A6,007A,001A,0000,0000,0001
0064,0184,02F0,013C,FE0C,8A03,000C,10AB,27F2,25A4,0BD1,02D8,005D,0012,0002,0001,0002
0065,0184,02EC,0140,FE0E,8A03,000B,1364,10B7,2742,262F,0C1E,02B1,0068,0010,0003,0002
0066,0184,02EC,013F,FE0F,89FF,000C,10A3,27D3,264A,0BD4,0265,007B,0012,0002,0001,0001
0067,0184,02EB,013F,FE0E,8A03,000C,10D0,27BE,25EE,0B6C,02BC,0076,0010,0001,0002,0001
0068,0184,02EE,013C,FE0C,89FE,000B,1328,1099,27FD,266C,0BAB,0299,0071,000A,0001,0001
0069,0184,02EF,013C,FE0F,8A02,000B,1397,10E2,2746,260B,0BC8,02CB,0072,0013,0001,0002
006A,0183,02EF,013F,FE0F,8A04,000D,2791,266D,0C51,02AF,0072,000D,0001,0000,0001,0001
006B,0183,02EC,013F,FE0C,89FC,000C,1062,276F,2671,0BDC,02A7,007A,0012,0001,0000,0001
006C,0184,02EB,013E,FE0F,89F4,000D,2767,25E1,0C10,02B4,0078,000E,0003,0000,0001,0001
006D,0184,02EF,013C,FE0F,89FD,000A,08E8,12A8,106F,2795,26C4,0C6E,02BC,0066,0014,0001
006E,017F,02EC,013E,FE0F,8A02,000D,2822,2619,0C17,0295,004C,000A,0001,0000,0000,0001
006F,0183,02EE,013C,FE0F,8A01,000C,1088,2818,25DE,0BE0,0279,0054,000F,0004,0000,0001
0070,0183,02EE,013E,FE0F,89F6,000B,1317,0FFE,27CF,2616,0CBE,02B8,007E,0010,0004,0001
0071,0183,02F0,013E,FE0C,89F1,000B,130C,1041,2789,25EA,0CC3,02E9,006B,0017,0000,0002
0072,0182,02EE,013C,FE0C,89F8,000B,12B1,0FFE,277F,2637,0D0C,0311,007A,0014,0003,0001
0073,0183,02EF,013F,FE0F,89F2,000C,1024,288E,266D,0D00,02D8,005F,000C,0001,0003,0001
0074,0182,02EE,0139,FE10,89F2,000C,0FE4,277F,2682,0D2A,02E1,007C,000F,0002,0001,0001
0075,0180,02EF,013B,FE0E,89F7,000C,0FFE,2721,25E5,0DB1,034D,0075,0011,0002,0001,0001
0076,0182,02EE,013C,FE11,89F2,000A,089D,1307,0FAA,2825,2558,0D9A,0306,007A,000C,0001
0077,0180,02EC,013F,FE0F,89EC,000D,276C,25FC,0D97,02E0,0078,0012,0001,0001,0002,0001
0078,0180,02F4,013F,FE07,89ED,000C,0FAB,275E,25EB,0DBF,0340,0072,0014,0002,0000,0001
0079,0182,02F0,013E,FE07,89F0,000C,0FF4,2764,2624,0DEB,0301,0071,0009,0003,0000,0002
007A,0180,02EE,013F,FE11,89F6,000C,0FD7,2733,2651,0E35,031A,0079,0015,0006,0000,0001
007B,0180,02EF,0146,FE0C,89DF,000B,12DA,0F8B,2765,2570,0DF6,030A,007A,0008,0004,0002
