Report: 2016-07-19_AA0006_r-039-02.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 039-02
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/26,00:44:30
Report date/time: 2016/08/26,08:44:33
Secs per rec: 0168
# of recs: 0050
Battery level: 02B5

Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0042,01C7,FD63,FD0C,FEC7,93DE,000A,0549,0938,05D7,191B,3966,238E,08BD,0084,0033,0003
0043,01C7,FD63,FD0E,FEC0,93D3,000A,05B1,093C,05D7,1851,3907,240D,08C8,0096,0046,0006
0044,01C7,FD64,FD0F,FEC3,93BB,000A,0580,091B,05CF,18E8,39AD,237E,0893,0072,0037,0002
0045,01C7,FD64,FD0E,FEC0,93CE,000A,056B,0967,05CF,1814,3909,2467,08DB,0084,0045,0005
0046,01C7,FD63,FD0B,FEC0,93DA,000A,05A0,0913,05BE,182E,3967,2412,08F6,0081,0048,0003
0047,01C4,FD63,FD0C,FEC3,93D6,000A,0550,0917,059E,1861,393F,24E4,0887,0077,0049,0006
0048,01C6,FD63,FD0C,FEC4,93CA,0009,052C,090A,060D,17DE,3A01,2486,086E,0074,0040,0000
0049,01C7,FD63,FD0C,FEC0,93B8,000A,055B,0934,061E,1724,398C,2473,091D,0086,0042,0003
004A,01C7,FD63,FD0C,FEC7,93BB,000A,0524,0916,0600,177E,38DF,2546,0908,0090,003A,000C
004B,01C6,FD61,FD0E,FEC0,93D0,000A,050F,08BB,0605,1731,398C,255D,0928,0086,0032,0007
004C,01C7,FD66,FD0E,FEC0,93B9,000A,051D,08DD,05D0,1747,3990,254D,0909,008A,0031,0007
004D,01C6,FD65,FD0C,FEC0,93AE,000A,04E0,08F5,066A,16FC,3894,25FA,0923,006F,004D,0006
004E,01C6,FD60,FD0C,FEC6,93C3,000A,0519,08F8,0628,1743,38C8,25A1,08FC,008E,004F,0005
