tDays,Energy,Count,EnergyPerCountFiltered,Temp,X,Y,Z,CalEn,BIN_0,BIN_1,BIN_2,BIN_3,BIN_4,BIN_5,BIN_6,BIN_7,BIN_8,BIN_9,BIN_10,BIN_11,BIN_12,BIN_13,BIN_14,BIN_15,BIN_16,BIN_17,BIN_18,BIN_19,BIN_20,BIN_21,BIN_22,BIN_23,BIN_24,BIN_25,BIN_26,BIN_27,BIN_28,BIN_29,comportamiento
55.4271412,181221,17811,10.17466734,923,64871,947,72,2104574317.0,628,1523,1581,3788,4509,4322,1243,190,23,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.42922454,211530,17802,11.88237277,926,64864,956,71,2104128737.0,978,978,978,3237,4612,5142,1616,221,29,7,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.43130787,245467,17796,13.79338054,921,64868,966,62,2104397212.0,507,1093,833,2811,4621,5380,2016,436,79,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.4333912,257188,17788,14.45851136,911,64867,952,72,2104319589.0,748,748,854,2577,4625,5322,2339,481,72,17,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.43547454,213639,17779,12.01636762,902,64864,951,71,2104123969.0,541,1217,893,2883,5060,5078,1868,207,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.43755787,224325,17766,12.6266464,892,64864,956,76,2104129104.0,478,1141,834,2717,5121,5089,2088,267,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.4396412,213247,17766,12.0030958,898,64868,952,76,2104384752.0,437,1183,1340,2934,4486,5358,1764,236,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.44172454,189096,17789,10.62993985,923,64867,958,76,2104325615.0,567,1566,1479,3233,4629,4809,1328,139,31,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.44799769,210626,17814,11.82362187,926,64868,958,76,2104390482.0,497,1220,1149,2811,5247,4916,1681,255,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.45008102,224098,17809,12.58341288,934,64865,960,71,2104197433.0,470,1158,1114,2678,5116,5049,1873,289,51,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.45216435,212550,17810,11.93430657,925,64864,953,75,2104126165.0,570,1214,1010,3109,5372,4503,1654,314,59,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.45424769,192534,17800,10.81651685,907,64871,951,79,2104578642.0,654,1238,820,3492,5781,4084,1509,201,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.45633102,205216,17773,11.54650312,904,64871,951,78,2104578563.0,587,1320,1316,3014,4929,4701,1650,202,39,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.45841435,193594,17771,10.89381577,898,64867,955,71,2104322378.0,611,1414,1264,3043,5171,4565,1483,198,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.46049769,184157,17774,10.36103297,904,64864,956,71,2104128737.0,602,1475,1505,3010,5140,4563,1332,128,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.46258102,180493,17765,10.16003377,892,64867,956,72,2104323405.0,710,1445,1084,3624,5516,3885,1323,149,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.46466435,177094,17754,9.974878901,892,64867,952,72,2104319589.0,686,1476,1305,3288,5440,4215,1218,103,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.46674769,230745,17793,12.96830214,919,64871,958,73,2104584867.0,496,1211,1259,1886,4702,5938,2016,225,58,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
